type,source,status,episodes,popularity,members,favorites,duration_min,year,genre_Action,genre_Adventure,genre_Avant Garde,genre_Award Winning,genre_Boys Love,genre_Comedy,genre_Drama,genre_Ecchi,genre_Erotica,genre_Fantasy,genre_Girls Love,genre_Gourmet,genre_Hentai,genre_Horror,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Slice of Life,genre_Sports,genre_Supernatural,genre_Suspense,mal_id,score,type_Movie,type_TV,source_4-koma manga,source_Book,source_Card game,source_Game,source_Light novel,source_Manga,source_Mixed media,source_Music,source_Novel,source_Original,source_Other,source_Picture book,source_Radio,source_Unknown,source_Visual novel,source_Web manga,source_Web novel,status_Currently Airing,status_Finished Airing
TV,Original,Finished Airing,26.0,42,1978236,86696,24,1998,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8.75,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
Movie,Original,Finished Airing,1.0,642,398549,1711,55,2001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,8.38,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
TV,Manga,Finished Airing,26.0,260,804292,16890,24,1998,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,8.22,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
TV,Original,Finished Airing,26.0,1954,123635,674,25,2002,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7,7.23,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
TV,Manga,Finished Airing,52.0,5660,16312,16,23,2004,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,6.92,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
TV,Manga,Finished Airing,145.0,1361,191897,2077,23,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,7.91,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
TV,Manga,Finished Airing,24.0,945,279100,4186,23,2005,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,7.98,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
TV,Manga,Finished Airing,52.0,4686,26243,244,23,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,7.54,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
TV,Manga,Finished Airing,24.0,1283,205030,1384,27,2004,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8.17,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
TV,Manga,Finished Airing,74.0,121,1241344,58111,24,2004,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,19,8.89,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
TV,Manga,Finished Airing,220.0,9,3002557,83485,23,2002,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,8.01,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
